chromosome_index	start_position	end_position	major_cn	minor_cn	total_cn
1	809641	77225173	1	1	2
1	77225624	78062228	2	1	3
1	78064934	103283788	1	1	2
1	103284712	103853654	2	1	3
1	103857363	104024088	1	1	2
1	104026846	104055950	2	1	3
1	104056000	113307496	1	1	2
1	113308443	114352183	1	0	1
1	114355480	114568062	2	0	2
1	114573813	119232226	1	0	1
1	119233151	196745540	1	1	2
1	196746537	197268807	3	0	3
1	197269606	202902110	1	1	2
1	202905602	203037115	2	1	3
1	203040506	224239469	1	1	2
1	224245320	224442993	2	1	3
1	224449679	235423298	1	1	2
1	235427622	236204927	2	1	3
1	236205408	248916508	1	1	2
2	12091	19050927	3	1	4
2	19054298	43749402	1	1	2
2	43758801	44388908	2	1	3
2	44389589	69349015	1	1	2
2	69351160	69453303	2	1	3
2	69459154	162023873	1	1	2
2	162028600	162809160	2	1	3
2	162813132	164380982	1	1	2
2	164387645	164598525	2	1	3
2	164604606	182488556	1	1	2
2	182488567	183467703	2	1	3
2	183468987	186225408	1	1	2
2	186225525	186230619	3	0	3
2	186230858	187736531	2	1	3
2	187737396	205190428	1	1	2
2	205190630	205883338	2	1	3
2	205885824	241917917	1	1	2
3	12690	37548	2	1	3
3	38026	9273605	1	1	2
3	9276074	10201620	2	1	3
3	10206398	45524062	1	1	2
3	45526065	45645167	2	1	3
3	45651399	57665152	1	1	2
3	57665556	57722808	2	1	3
3	57727633	64005131	1	1	2
3	64008829	65440328	2	1	3
3	65440332	66394273	1	1	2
3	66397883	66893006	2	1	3
3	66893191	191182989	1	1	2
3	191183797	198038561	1	0	1
4	72156	31126627	1	1	2
4	31129445	31747958	2	1	3
4	31757319	34387595	1	1	2
4	34388852	35085878	2	1	3
4	35102229	56457785	1	1	2
4	56458942	57602532	2	1	3
4	57604514	68722334	1	1	2
4	68725894	68730542	2	1	3
4	68730634	70947088	1	1	2
4	70954051	72513654	2	1	3
4	72516190	100142234	1	1	2
4	100143105	101088881	2	1	3
4	101099767	102979044	1	1	2
4	102980538	103012410	2	1	3
4	103013743	115664713	1	1	2
4	115667442	116215168	2	1	3
4	116224190	123278038	1	1	2
4	123278138	123346505	2	1	3
4	123346716	138711821	1	1	2
4	138714031	139732427	2	1	3
4	139733835	157652225	1	1	2
4	157653158	157800450	2	0	2
4	157803671	157977169	1	0	1
4	157979522	158956624	2	0	2
4	158957051	189661459	1	0	1
5	44922	11289279	1	1	2
5	11295233	11878542	2	1	3
5	11890671	15605838	1	1	2
5	15609811	16460353	2	1	3
5	16469484	18220494	1	1	2
5	18220711	18241080	2	1	3
5	18244351	37705926	1	1	2
5	37709295	45018621	2	1	3
5	45024967	65635686	1	1	2
5	65637185	66258398	1	0	1
5	66261223	66743804	1	1	2
5	66755037	67669285	2	1	3
5	67669534	74817395	1	1	2
5	74819513	122121069	1	0	1
5	122126454	125279441	1	1	2
5	125428454	126820530	2	1	3
5	126823225	127037117	1	1	2
5	127055270	127777076	2	1	3
5	127778242	128211795	3	1	4
5	128212118	131259715	1	1	2
5	131260858	131291767	2	2	4
5	131293699	149993940	1	1	2
5	149994456	150207918	2	1	3
5	150208080	151528717	1	1	2
5	151529948	152632254	2	1	3
5	152632877	180938313	1	1	2
5	180940906	181005024	2	1	3
5	181005416	181170660	1	1	2
6	149609	828850	1	0	1
6	829032	836331	2	1	3
6	837998	32177930	1	0	1
6	32592655	33475412	2	0	2
6	33480836	34020664	2	1	3
6	34025844	35690550	3	1	4
6	35704553	38879462	2	1	3
6	38879909	75926667	1	1	2
6	75928104	76327341	2	1	3
6	76327961	80243540	1	1	2
6	80244794	80270340	2	1	3
6	80271091	100609602	1	1	2
6	100611010	100632745	2	1	3
6	100637070	111763210	1	1	2
6	111766565	112526592	2	1	3
6	112534916	148485080	1	1	2
6	148487495	150486945	1	0	1
6	150491532	151310582	1	1	2
6	151310954	152166339	1	0	1
6	152166695	152694110	2	0	2
6	152694777	153273904	3	0	3
6	153276379	153427199	2	0	2
6	153432150	158069225	1	0	1
6	158069747	165425464	1	1	2
6	165430763	165598149	1	0	1
6	165600054	165601943	2	0	2
6	165602205	170606038	1	0	1
7	198401	8325829	2	0	2
7	8325942	13755477	1	0	1
7	13761973	13973979	2	0	2
7	13977314	15745098	1	0	1
7	15747148	17020682	2	0	2
7	17022447	39285103	1	0	1
7	39285384	39533617	2	0	2
7	39544120	40126417	2	1	3
7	40128029	82618566	1	1	2
7	82631436	83609056	2	1	3
7	83613728	114010092	1	1	2
7	114010842	142434801	2	1	3
7	142435030	142879068	1	1	2
7	142879502	148891691	2	1	3
7	148892777	149767457	3	1	4
7	149775551	152214868	2	1	3
7	152251983	152833406	3	1	4
7	152834443	159286216	2	1	3
7	159286307	159325753	3	1	4
8	211532	1242724	1	0	1
8	1242770	1371558	0	0	0
8	1378750	1387060	1	0	1
8	1623552	2026755	0	0	0
8	2028637	2377773	1	0	1
8	2485228	2817587	0	0	0
8	2818485	23516941	1	0	1
8	23521365	23857096	2	0	2
8	23857479	41106368	1	0	1
8	41111201	41446377	1	1	2
8	41447954	42908351	1	0	1
8	42995933	53875691	1	1	2
8	53883108	54170772	3	1	4
8	54171419	56423075	2	1	3
8	56424802	56439577	3	1	4
8	56440087	74685001	2	1	3
8	74685614	74950654	2	2	4
8	74951904	79852818	2	1	3
8	79854119	79970333	3	1	4
8	79971679	99858154	2	1	3
8	99858889	100419816	2	2	4
8	100420074	121893473	2	1	3
8	121893666	122631042	2	2	4
8	122632418	125994764	2	1	3
8	125996672	128766868	3	1	4
8	128768903	138642602	2	1	3
8	138643699	139250022	1	1	2
8	139250364	139375058	2	1	3
8	139375778	140111646	2	2	4
8	140111684	140519277	3	2	5
8	140523719	141332583	3	1	4
8	141404226	145074901	2	1	3
9	57539	15756096	1	0	1
9	15757539	20187964	1	1	2
9	20188706	32814132	1	0	1
9	32826854	33425387	2	0	2
9	33426140	33956793	2	1	3
9	33957504	66902037	1	1	2
9	66938951	80157119	1	0	1
9	80157259	120765243	1	1	2
9	120787749	122475241	2	1	3
9	122476897	138181722	1	1	2
10	48486	15528870	1	0	1
10	15531634	17345034	1	1	2
10	17345717	17362859	2	1	3
10	17363480	20403299	1	1	2
10	20411533	24464217	1	0	1
10	24468265	29028820	1	1	2
10	29029241	41712918	1	0	1
10	41712982	41837943	1	1	2
10	42322981	43405837	4	1	5
10	43425023	43694252	3	1	4
10	43694808	46175743	4	1	5
10	46182514	47038030	4	0	4
10	47040792	50443471	3	0	3
10	50444719	52600210	4	0	4
10	52602803	55368348	3	0	3
10	55368529	56580918	4	0	4
10	56580919	57437336	3	0	3
10	57437389	60030573	4	0	4
10	60030625	61105822	3	0	3
10	61107073	79322533	4	0	4
10	79328300	79355203	2	0	2
10	79355682	79458745	4	0	4
10	79462390	81778171	2	0	2
10	81782260	81963701	4	0	4
10	81970265	84400536	2	0	2
10	84403075	92216511	1	0	1
10	92219559	127238296	1	1	2
10	127238806	128278845	2	1	3
10	128281656	130188458	1	1	2
10	130191312	133621484	1	0	1
11	199813	635073	2	1	3
11	641800	18638639	1	1	2
11	18643531	18647221	2	1	3
11	18647932	34885714	1	1	2
11	34886365	35223740	2	1	3
11	35228123	50638213	1	1	2
11	50639803	50655815	1	0	1
11	50656440	63787438	1	1	2
11	63803270	64043443	10	1	11
11	64043472	65551794	5	1	6
11	65568234	68131470	4	1	5
11	68135293	68872013	2	1	3
11	68875170	69385757	6	1	7
11	69386824	70018699	4	1	5
11	70023413	86449029	1	1	2
11	86449098	132241023	1	0	1
11	132242999	132252621	2	0	2
11	132253080	132340059	1	0	1
11	132340894	133016478	2	0	2
11	133019405	135031154	1	0	1
11	135032642	135075414	2	0	2
12	175764	3639943	1	1	2
12	3640146	3648757	2	1	3
